原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
gear ability	en	装备能力	技能	装备系统	全系列	“技能”可能与其他系统概念冲突	官方繁中名及简中社区惯例	verified
ギアパワー	ja	装备能力	技能	装备系统	全系列		官方繁中名及日文系统名	verified
Tentaclinger Earring	en	鱿鱼章鱼耳饰		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#ACC003	verified
イカタコピアス	ja	鱿鱼章鱼耳饰		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#ACC003	verified
Squid Hairclip	en	鱿鱼发夹		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB000	verified
イカパッチン	ja	鱿鱼发夹		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB000	verified
Samurai Helmet	en	武士头盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB001	verified
サムライヘルメット	ja	武士头盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB001	verified
Power Mask	en	动力面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB002	verified
パワードマスク	ja	动力面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB002	verified
Squid Clip-Ons	en	鱿鱼回纹针		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB003	verified
イカクリップ	ja	鱿鱼回纹针		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB003	verified
Squinja Mask Mk II	en	鱿鱼影子面罩 乙		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB004	verified
イカカゲマスク乙	ja	鱿鱼影子面罩 乙		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB004	verified
Power Mask Mk I	en	动力面罩 原型		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB005	verified
パワードマスク オリジン	ja	动力面罩 原型		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB005	verified
Pearlescent Crown S	en	姬伴皇冠S		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB006	verified
ヒメイトクラウンS	ja	姬伴皇冠S		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB006	verified
Marinated Headphones	en	饭友耳机		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB007	verified
イイダチヘッドホン	ja	饭友耳机		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB007	verified
Enchanted Hat	en	魔力圆边帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB008	verified
エンチャントハット	ja	魔力圆边帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB008	verified
Steel Helm	en	章鱼钢盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB009	verified
タコティカルなヘルム	ja	章鱼钢盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB009	verified
Fresh Fish Head	en	鱼奇奇		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB010	verified
ひれおくん	ja	鱼奇奇		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB010	verified
Boss Floss	en	奶嘴骨		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB011	verified
オシャブリボーン	ja	奶嘴骨		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB011	verified
Sushi Sous-Chef Band	en	章鱼钵卷头带		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB012	verified
タコハチ	ja	章鱼钵卷头带		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB012	verified
Chaos Helm	en	狂战士钢盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB013	verified
バーサークヘル	ja	狂战士钢盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB013	verified
Squinja Mask Mk I	en	鱿鱼影子面罩 甲		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB016	verified
イカカゲマスク甲	ja	鱿鱼影子面罩 甲		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB016	verified
Pearlescent Crown L	en	姬伴皇冠L		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB017	verified
ヒメイトクラウンL	ja	姬伴皇冠L		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB017	verified
Hohojiro Mask	en	颊白的面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB018	verified
ホホジロノオモテ	ja	颊白的面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB018	verified
Onaga Mask	en	翁长的面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB019	verified
オナガノオモテ	ja	翁长的面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB019	verified
Manta Mask	en	曼蛇的面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB020	verified
マンダノオモテ	ja	曼蛇的面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB020	verified
World Tour Crown	en	世界级MC皇冠		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB021	verified
ワールドMCクラウン	ja	世界级MC皇冠		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB021	verified
World Tour Headphones	en	世界级DJ耳机		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB022	verified
ワールドDJヘッドホン	ja	世界级DJ耳机		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#AMB022	verified
Urchins Cap	en	海胆BB帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP000	verified
ウーニーズBBキャップ	ja	海胆BB帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP000	verified
Lightweight Cap	en	露营帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP001	verified
