原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
Lemuria Hub	en	龙宫转运站		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#AutoWalk	verified
リュウグウターミナル	ja	龙宫转运站		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#AutoWalk	verified
Brinewater Springs	en	臭鱼干温泉		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#BigSlope	verified
クサヤ温泉	ja	臭鱼干温泉		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#BigSlope	verified
Wahoo World	en	醋饭海洋世界		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Carousel	verified
スメーシーワールド	ja	醋饭海洋世界		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Carousel	verified
Urchin Underpass	en	十路通高架桥下		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Crank	verified
デカライン高架下	ja	十路通高架桥下		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Crank	verified
Robo ROM-en	en	贝见亭		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Cross	verified
バイガイ亭	ja	贝见亭		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Cross	verified
Eeltail Alley	en	鳗鲶区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#District	verified
ゴンズイ地区	ja	鳗鲶区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#District	verified
Um'ami Ruins	en	鱼露遗迹		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Factory	verified
ナンプラー遺跡	ja	鱼露遗迹		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Factory	verified
Mahi-Mahi Resort	en	鬼头刀SPA度假区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Hiagari	verified
マヒマヒリゾート＆スパ	ja	鬼头刀SPA度假区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Hiagari	verified
Flounder Heights	en	比目鱼住宅区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Jyoheki	verified
ヒラメが丘団地	ja	比目鱼住宅区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Jyoheki	verified
Hammerhead Bridge	en	真鲭跨海大桥		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Kaisou	verified
マサバ海峡大橋	ja	真鲭跨海大桥		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Kaisou	verified
MakoMart	en	座头购物中心		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Line	verified
ザトウマーケット	ja	座头购物中心		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Line	verified
Grand Splatlands Bowl	en	蛮颓大巨蛋		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Manbou	verified
グランドバンカラアリーナ	ja	蛮颓大巨蛋		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Manbou	verified
