原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
Rainmaker	en	真格鱼虎	鱼虎|真格鱼虎对战	特殊武器	斯普拉遁3	“鱼虎”可用于上下文明确的简称	游戏语言文件：CommonMsg/Weapon/WeaponName_Special#SpGachihoko	verified
sub weapon	en	副武器	副武	武器系统	全系列		官方繁中名及简中社区惯例	verified
サブウェポン	ja	副武器	副武	武器系统	全系列		官方繁中名及日文系统名	verified
special weapon	en	特殊武器	大招|特殊武器	武器系统	全系列	“大招”仅用于社区口语	官方繁中名及简中社区惯例	verified
スペシャルウェポン	ja	特殊武器	大招	武器系统	全系列		官方繁中名及日文系统名	verified
Shooter	en	射击枪	枪	武器类别	全系列		官方繁中名	verified
シューター	ja	射击枪	枪	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Shooter	verified
Roller	en	滚筒		武器类别	全系列		官方繁中名	verified
ローラー	ja	滚筒		武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Roller	verified
Charger	en	蓄力狙击枪	狙|狙击枪	武器类别	全系列	社区简称需上下文明确	官方繁中名及简中社区惯例	verified
チャージャー	ja	蓄力狙击枪	狙|狙击枪	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Charger	verified
Slosher	en	飞溅泼桶	桶|泼桶	主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Strong_00	verified
スロッシャー	ja	泼桶	桶	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Slosher	verified
Splatling	en	旋转枪	加特林	武器类别	全系列		官方繁中名及简中社区惯例	verified
スピナー	ja	旋转枪	加特林	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Spinner	verified
Dualies	en	机动枪	双枪	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Maneuver	verified
マニューバー	ja	机动枪	双枪	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Maneuver	verified
Brella	en	防空伞	伞	武器类别	斯普拉遁2|斯普拉遁3		官方繁中名及简中社区惯例	verified
シェルター	ja	防空伞	伞	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Shelter	verified
Brush	en	画笔	笔刷|笔	武器类别	全系列	具体武器可能属于滚筒类别分支	简中社区惯例	community
フデ	ja	画笔	笔刷|笔	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Brush	verified
Stringer	en	弓	弓类	武器类别	斯普拉遁3		官方繁中名及简中社区惯例	verified
ストリンガー	ja	猎鱼弓	弓类|弓	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Stringer	verified
Splatana	en	刮水刀	刀	武器类别	斯普拉遁3		官方繁中名及简中社区惯例	verified
